['580598: cncbarrier_f.p3d', 384]
['581382: stone_8m_f.p3d', 496]
['581194: mound01_8m_f.p3d', 31]
['582470: b_ficusc1s_f.p3d', 973]
['581177: cages_f.p3d', 539]
['580649: b_ficusc1s_f.p3d', 437]
['1992d0f0100# 580964: i_addon_03_v1_f.p3d Land_i_Addon_03_V1_F', 692]
['1780665: kestrel_f.p3d Kestrel_Random_F', 421]
['581144: b_ficusc2s_f.p3d', 506]
['580560: b_ficusc1s_f.p3d', 241]
['581336: stone_8m_f.p3d', 83]
['582446: stone_8m_f.p3d', 804]
['581394: b_ficusc1s_f.p3d', 714]
['582490: t_ficusb1s_f.p3d', 1050]
['582468: b_ficusc1s_f.p3d', 1075]
['580807: canisterplastic_f.p3d', 1225]
['579895: concrete_smallwall_8m_f.p3d', 1475]
['579945: concrete_smallwall_8m_f.p3d', 1512]
['579938: pavement_wide_f.p3d', 1518]
['579489: lampdecor_off_f.p3d', 1779]
['579245: mound01_8m_f.p3d', 1804]
['579367: t_fraxinusav2s_f.p3d', 1817]
['581070: b_ficusc2s_f.p3d', 108]
['19958042b00# 580800: u_house_big_02_v1_f.p3d Land_u_House_Big_02_V1_F', 282]
['582436: mound01_8m_f.p3d', 644]
['582274: mound01_8m_f.p3d', 927]
['580568: mil_wallbig_4m_f.p3d', 1113]
['579576: powerpolewooden_small_f.p3d', 1395]
['581686: b_ficusc1s_f.p3d', 1542]
['580724: b_ficusc1s_f.p3d', 13]
['580839: pavement_wide_f.p3d', 745]
['581355: b_ficusc1s_f.p3d', 488]
['1784075: kestrel_f.p3d Kestrel_Random_F', 1173]
['580808: campingchair_v1_folded_f.p3d', 1233]
['19957cc0b80# 580010: d_house_big_02_v1_f.p3d Land_d_House_Big_02_V1_F', 1236]
['580006: mound01_8m_f.p3d', 1268]
['579550: b_ficusc1s_f.p3d', 1307]
['582284: mound02_8m_f.p3d', 1373]
['579956: stone_8md_f.p3d', 1530]
['579638: stone_8m_f.p3d', 1588]
['581404: b_ficusc1s_f.p3d', 577]
['581163: b_ficusc1s_f.p3d', 449]
['582350: pipes_large_f.p3d', 995]
['199580e4b80# 580562: cargo_tower_v1_f.p3d Land_Cargo_Tower_V1_F', 257]
['580917: stone_8m_f.p3d', 583]
['582429: b_ficusc1s_f.p3d', 800]
['19958043580# 580796: i_garage_v2_f.p3d Land_i_Garage_V2_F', 355]
['581195: mound01_8m_f.p3d', 46]
['581114: stone_8m_f.p3d', 653]
['Agent 0x00000199D6910140', 1152]
['580000: mound01_8m_f.p3d', 1155]
['581753: crateswooden_f.p3d', 1163]
['1784843: kestrel_f.p3d Kestrel_Random_F', 1209]
['579588: mound01_8m_f.p3d', 1213]
['579506: mound01_8m_f.p3d', 1759]
['579480: stone_8m_f.p3d', 1832]
['579460: b_ficusc1s_f.p3d', 1833]
['581402: b_ficusc1s_f.p3d', 422]
['582218: stone_8m_f.p3d', 932]
['580653: b_ficusc1s_f.p3d', 173]
['581085: b_neriumo2s_white_f.p3d', 562]
['582486: t_ficusb1s_f.p3d', 967]
['581096: stone_8m_f.p3d', 649]
['582505: mound01_8m_f.p3d', 1071]
['579882: stone_8m_f.p3d', 1476]
['579650: stone_pillar_f.p3d', 1560]
